wkt_geom,STD_YM,BLOCK_CD,X_COORD,Y_COORD,MAN_10G,MAN_20G,MAN_30G,MAN_40G,MAN_50G,MAN_60GU,WMAN_10G,WMAN_20G,WMAN_30G,WMAN_40G,WMAN_50G,WMAN_60GU,a10s,a20s,a30s,a40s,a50s,a60
Point (192660.78837341582402587 450185.59895205544307828),201309,1.11E+18,948498.625,1950362,3.6,25.21,52.34,44.66,35.25,22.31,4.29,30.37,38.59,24.35,19.76,13.78,7.89,55.58,90.93,69.01,55.01,36.09
Point (192660.76710515382001176 450236.61833511624718085),201309,1.11E+18,948498.875,1950413,3.32,23.53,48.23,39.4,28.25,17.29,4.07,28.66,35.82,22.14,16.82,11.22,7.39,52.19,84.05,61.54,45.07,28.51
Point (192709.87356254065525718 450184.85964466765290126),201309,1.11E+18,948547.6875,1950361,6.18,11.83,25.49,25.78,19.57,13.14,6.44,12.38,22.41,19.14,15.25,10.38,12.62,24.21,47.9,44.92,34.82,23.52
Point (192759.05720965200453065 450236.14074486441677436),201309,1.11E+18,948597.125,1950412,0.36,1.19,4.47,7.61,10.19,9.01,0.23,0.74,3.03,3.31,4.3,4.21,0.59,1.93,7.5,10.92,14.49,13.22
Point (192709.90949571548844688 450236.87971702730283141),201309,1.11E+18,948548,1950413,3.33,23.53,48.26,39.43,28.27,17.3,4.07,28.68,35.86,22.16,16.86,11.24,7.4,52.21,84.12,61.59,45.13,28.54
Point (192808.03330727011780255 450185.38173787528648973),201309,1.11E+18,948645.8125,1950361,0.08,0.48,2.21,4.23,6.73,5.38,0.1,0.31,1.34,1.62,2.72,2.72,0.18,0.79,3.55,5.85,9.45,8.1
Point (192758.97469896901748143 450134.10130277287680656),201309,1.11E+18,948596.5,1950310,2.94,21.84,44,34.47,23.69,13.01,3.78,27.05,32.75,19.56,14.59,9.24,6.72,48.89,76.75,54.03,38.28,22.25
Point (192759.01595572475343943 450185.12102380802389234),201309,1.11E+18,948596.8125,1950361,0.47,0.8,4.57,9.05,13.69,11.74,0.39,0.66,3.03,3.9,5.7,5.23,0.86,1.46,7.6,12.95,19.39,16.97
Point (192807.95611149122123607 450082.34193624532781541),201309,1.11E+18,948645.1875,1950258,0.06,0.42,1.96,3.75,5.95,4.76,0.09,0.26,1.19,1.45,2.41,2.39,0.15,0.68,3.15,5.2,8.36,7.15
Point (192759.03061781404539943 450288.16048747941385955),201309,1.11E+18,948597.375,1950464,3.58,25.23,51.19,41.45,29.35,17.56,4.24,30.65,37.99,23.22,17.51,11.43,7.82,55.88,89.18,64.67,46.86,28.99
Point (192807.99737114255549386 450133.36165998037904501),201309,1.11E+18,948645.5,1950309,2.99,22.55,44.15,32.11,18.3,8.38,3.9,28.2,33.11,18.98,12.69,7.11,6.89,50.75,77.26,51.09,30.99,15.49
Point (192857.13976957273553126 450133.62303636269643903),201309,1.11E+18,948694.625,1950309,15.69,96.68,119.22,82.87,51.1,28.15,19.58,109.95,89.08,58.01,41.67,23.11,35.27,206.63,208.3,140.88,92.77,51.26
Point (192906.12118726834887639 450081.86366425122832879),201309,1.11E+18,948743.3125,1950257,19.17,175.84,136.32,66.73,31.25,15.94,25.38,178.1,84.44,41.21,27.43,14.81,44.55,353.94,220.76,107.94,58.68,30.75
Point (192808.07456120147253387 450236.40146165434271097),201309,1.11E+18,948646.125,1950412,3.35,23.35,47.46,37.14,24.7,14.25,4.11,29.09,35.57,21.47,15.76,10.16,7.46,52.44,83.03,58.61,40.46,24.41
Point (192808.17833443626295775 450287.42151800554711372),201309,1.11E+18,948646.5,1950463,13.58,102.22,107.92,71.32,46.56,26.35,16.21,106.04,76.25,41.44,30.69,19.28,29.79,208.26,184.17,112.76,77.25,45.63
Point (192857.11850425825105049 450184.64243030321085826),201309,1.11E+18,948694.875,1950360,0.38,0.96,4.94,8.99,13.26,11.48,0.26,0.76,3.36,3.91,5.78,5.77,0.64,1.72,8.3,12.9,19.04,17.25
Point (192857.2794817753310781 450236.66317609196994454),201309,1.11E+18,948695.3125,1950412,25.04,217.33,202.48,118.05,68.13,37.97,32.44,226.08,132.54,70.26,49.87,29.65,57.48,443.41,335.02,188.31,118,67.62
Point (192906.15712634741794318 450133.8837476791231893),201309,1.11E+18,948743.625,1950309,29.7,237.72,218.6,119.93,60.75,31.18,36.75,248.08,143.42,81.07,54.7,28.51,66.45,485.8,362.02,201,115.45,59.69
Point (192906.26090531665249728 450184.9038094257703051),201309,1.11E+18,948744,1950360,16.5,155.78,154.13,84.83,42.45,20.73,21.46,164.24,97.92,51.47,34.07,18.41,37.96,320.02,252.05,136.3,76.52,39.14
Point (192955.3673728046414908 450133.1451023262925446),201309,1.11E+18,948792.8125,1950308,45.4,367.88,251.41,129.9,69.6,32.22,61.67,359.85,160,86.14,57.97,30.58,107.07,727.73,411.41,216.04,127.57,62.8
